co_ibge,co_cnes,endereco_completo,no_logradouro,nu_endereco,no_bairro,co_cep,municipio,uf,lat,long
261160,6232442,"RUA AURORA CACOTE, 637, AREIS, Recife, PE, 50870490",RUA AURORA CACOTE,637,AREIS,50870490,Recife,PE,-8.099533997104,-34.93305566623
261160,6235859,"RUA J A DA SILVEIRA, 10, MADALENA, Recife, PE, 50610030",RUA J A DA SILVEIRA,10,MADALENA,50610030,Recife,PE,-8.051612520614,-34.905696406451
261160,6236995,"RUA VISCONDE DE JEQUITINHONHA, 209, BOA VIAGEM, Recife, PE, 51030510",RUA VISCONDE DE JEQUITINHONHA,209,BOA VIAGEM,51030510,Recife,PE,-8.122766915766,-34.903713918712
261160,6237355,"RUA DO PAISSANDU, 667, DERBY, Recife, PE, 52010000",RUA DO PAISSANDU,667,DERBY,52010000,Recife,PE,-8.060758160115,-34.895668825074
261160,6237363,"RUA GILDO NETO, 44, TAMARINEIRA, Recife, PE, 52050130",RUA GILDO NETO,44,TAMARINEIRA,52050130,Recife,PE,-8.033732496218,-34.903812489893
261160,6237525,"AV DOMINGOS FERREIRA, 636, PINA, Recife, PE, 51011051",AV DOMINGOS FERREIRA,636,PINA,51011051,Recife,PE,-8.095644208647,-34.886214767995
261160,6238246,"RUA CABO HONORARIO, 30, TAMARINEIRA, Recife, PE, 52110030",RUA CABO HONORARIO,30,TAMARINEIRA,52110030,Recife,PE,-8.029298888533,-34.898485203692
261160,6243622,"RUA JOSE BONIFACIO, 205, MADALENA, Recife, PE, 50100060",RUA JOSE BONIFACIO,205,MADALENA,50100060,Recife,PE,-8.049162113131,-34.906675412742
261160,6243703,"AV DOMINGOS FERREIRA, 4060, BOA VIAGEM, Recife, PE, 51021040",AV DOMINGOS FERREIRA,4060,BOA VIAGEM,51021040,Recife,PE,-8.123711681982,-34.900233920151
261160,6247202,"RUA ESTADO DE ISRAEL, 262, ILHA DO LEITE, Recife, PE, 50070420",RUA ESTADO DE ISRAEL,262,ILHA DO LEITE,50070420,Recife,PE,-8.063853200555,-34.894423501051
261160,6247210,"AV JOAO DE BARROS, 1527, ESPINHEIRO, Recife, PE, 52021180",AV JOAO DE BARROS,1527,ESPINHEIRO,52021180,Recife,PE,-8.041346994248,-34.891738106912
261160,6249671,"PRACA DE CASA FORTE, 381, CASA FORTE, Recife, PE, 52061420",PRACA DE CASA FORTE,381,CASA FORTE,52061420,Recife,PE,-8.034119026697,-34.91926296864
261160,6249728,"JURNALISTA PAULO BITTENCOURT, 155, DERBY, Recife, PE, 52010260",JURNALISTA PAULO BITTENCOURT,155,DERBY,52010260,Recife,PE,-8.054075584772,-34.89955967986
261160,6259367,"RUA DA HORA, 543, ESPINHEIRO, Recife, PE, 50100060",RUA DA HORA,543,ESPINHEIRO,50100060,Recife,PE,-8.04596089667,-34.893964005119
261160,6259413,"RUA FRANCISCO ALVES, 552, ILHA DO LEITE, Recife, PE, 50070490",RUA FRANCISCO ALVES,552,ILHA DO LEITE,50070490,Recife,PE,-8.066763397337,-34.894276985384
261160,6259421,"RUA ANTENOR NAVARRO, 81, JAQUEIRA, Recife, PE, 52050080",RUA ANTENOR NAVARRO,81,JAQUEIRA,52050080,Recife,PE,-8.037502508628,-34.902323612432
261160,6261736,"AV OLIVEIRA LIMA, 772, SOLEDADE, Recife, PE, 50050400",AV OLIVEIRA LIMA,772,SOLEDADE,50050400,Recife,PE,-8.05737139101,-34.886998559761
261160,6261744,"RUA ESTRADA DO REMEDIOS, 694, AFOGADOS, Recife, PE, 50750000",RUA ESTRADA DO REMEDIOS,694,AFOGADOS,50750000,Recife,PE,-8.073974097182,-34.907499437643
261160,6267157,"AV CONSELHEIRO ROSA E SILVA, 1206, AFLITOS, Recife, PE, 52020220",AV CONSELHEIRO ROSA E SILVA,1206,AFLITOS,52020220,Recife,PE,-8.040812269264,-34.898445338956
261160,6267181,"RUA SIMAO MENDES, 143, JAQUEIRA, Recife, PE, 52050110",RUA SIMAO MENDES,143,JAQUEIRA,52050110,Recife,PE,-8.03534848524,-34.903447877105
261160,6267289,"RUA DA HARMONIA, 346, CASA AMARELA, Recife, PE, 52051390",RUA DA HARMONIA,346,CASA AMARELA,52051390,Recife,PE,-8.026709383366,-34.913818386809
261160,6274749,"AV SANTOS DUMONT, 263, AFLITOS, Recife, PE, 52050050",AV SANTOS DUMONT,263,AFLITOS,52050050,Recife,PE,-8.038536500204,-34.899015275249
261160,6282962,"RUA SETE DE SETEMBRO, 37, BOA VISTA, Recife, PE, 50060070",RUA SETE DE SETEMBRO,37,BOA VISTA,50060070,Recife,PE,-8.062709280319,-34.883860794308
261160,6296092,"AV ENGENHEIRO DOMINGOS FERREIRA, 0636, PINA, Recife, PE, 51011050",AV ENGENHEIRO DOMINGOS FERREIRA,0636,PINA,51011050,Recife,PE,-8.095644208647,-34.886214767995
261160,6296149,"RUA DR RAUL LAFAYETTE, 191, BOA VIAGEM, Recife, PE, 51021220",RUA DR RAUL LAFAYETTE,191,BOA VIAGEM,51021220,Recife,PE,-8.122377702092,-34.901068841527
261160,6304699,"RUA CALOS PEREIRA FALCAO, 298, BOA VIAGEM, Recife, PE, 51021350",RUA CALOS PEREIRA FALCAO,298,BOA VIAGEM,51021350,Recife,PE,-8.125362413994,-34.900935066352
261160,6304729,"ESTRADA DOS REMEDIOS, 694, AFOGADOS, Recife, PE, 50750120",ESTRADA DOS REMEDIOS,694,AFOGADOS,50750120,Recife,PE,-8.073974097182,-34.907499437643
261160,6304915,"RUA DAS PERNAMBUCANAS, 407, GRACAS, Recife, PE, 52011010",RUA DAS PERNAMBUCANAS,407,GRACAS,52011010,Recife,PE,-8.050958606438,-34.90263893963
261160,6322174,"AVENIDA VISCONDE DE ALBUQUERQUE, 137, MADALENA, Recife, PE, 50610090",AVENIDA VISCONDE DE ALBUQUERQUE,137,MADALENA,50610090,Recife,PE,-8.050447928145,-34.906553001753
261160,6322190,"RUA JORNALISTA PAULO BITTENCOURT, 33, DERBY, Recife, PE, 52010260",RUA JORNALISTA PAULO BITTENCOURT,33,DERBY,52010260,Recife,PE,-8.054557208929,-34.898473636666
261160,6328067,"AV FERNANDO SIMOES BARBOSA GL ST ANTONIO, 22, BOA VIAGEM, Recife, PE, 51020390",AV FERNANDO SIMOES BARBOSA GL ST ANTONIO,22,BOA VIAGEM,51020390,Recife,PE,-8.115773810128,-34.90067036585
261160,6331459,"RUA FRANCISCO ALVES, 325, ILHA DO LEITE, Recife, PE, 50070490",RUA FRANCISCO ALVES,325,ILHA DO LEITE,50070490,Recife,PE,-8.068045116061,-34.892700517034
261160,6343244,"AV CONSELHEIRO AGUIAR, 1360, BOA VIAGEM, Recife, PE, 51011030",AV CONSELHEIRO AGUIAR,1360,BOA VIAGEM,51011030,Recife,PE,-8.10237118886,-34.887774221081
261160,6351581,"AV VISCONDE DE SUASSUNA, 797, SANTO AMARO, Recife, PE, 50050540",AV VISCONDE DE SUASSUNA,797,SANTO AMARO,50050540,Recife,PE,-8.05114288258,-34.888722884883
261160,6351603,"RUA ESTRADA DO ARRAIAL, 3286, TAMARINEIRA, Recife, PE, 52051380",RUA ESTRADA DO ARRAIAL,3286,TAMARINEIRA,52051380,Recife,PE,-8.0278629847,-34.911668763921
261160,6351611,"RUA CARLOS PORTO CARREIRO, 110, BOA VISTA, Recife, PE, 50070090",RUA CARLOS PORTO CARREIRO,110,BOA VISTA,50070090,Recife,PE,-8.055219588827,-34.896753334858
261160,6351646,"RUA GERVASIO PIRES, 1017, SANTO AMARO, Recife, PE, 50050070",RUA GERVASIO PIRES,1017,SANTO AMARO,50050070,Recife,PE,-8.054017288635,-34.883264338078
261160,6353657,"RUA RIBEIRO DE BRITO, 901, BOA VIAGEM, Recife, PE, 51021310",RUA RIBEIRO DE BRITO,901,BOA VIAGEM,51021310,Recife,PE,-8.123177503293,-34.904363516208
261160,6353711,"AV FERNANDO SIMOES BARBOSA, 22, BOA VIAGEM, Recife, PE, 51020390",AV FERNANDO SIMOES BARBOSA,22,BOA VIAGEM,51020390,Recife,PE,-8.117515988703,-34.901525822888
261160,6353754,"RUA PACIFICO DOS SANTOS, 103, PAISSANDU, Recife, PE, 52010030",RUA PACIFICO DOS SANTOS,103,PAISSANDU,52010030,Recife,PE,-8.062947619736,-34.900034011761
261160,6354564,"AV RUI BARBOSA, 370, GRACAS, Recife, PE, 52011040",AV RUI BARBOSA,370,GRACAS,52011040,Recife,PE,-8.048594406829,-34.898770020762
261160,6361102,"RUA PACIFICO DOS SANTOS, 103, BOA VISTA, Recife, PE, 52010030",RUA PACIFICO DOS SANTOS,103,BOA VISTA,52010030,Recife,PE,-8.062947619736,-34.900034011761
261160,6361129,"RUA VENEZUELA, 182, ESPINHEIRO, Recife, PE, 52020170",RUA VENEZUELA,182,ESPINHEIRO,52020170,Recife,PE,-8.047109301224,-34.893994179971
261160,6378749,"AV RUI BARBOSA, 370, GRACAS, Recife, PE, 52011040",AV RUI BARBOSA,370,GRACAS,52011040,Recife,PE,-8.048594406829,-34.898770020762
261160,6389910,"AV CAXANGA, 3536, IPUTINGA, Recife, PE, 50731000",AV CAXANGA,3536,IPUTINGA,50731000,Recife,PE,-8.041174117495,-34.937252092612
261160,6389929,"AV JOAO DE BARROS, 1750, SANTO AMARO, Recife, PE, 52021180",AV JOAO DE BARROS,1750,SANTO AMARO,52021180,Recife,PE,-8.039349293355,-34.89186987043
261160,6389937,"RUA DO HOSPICIO, 194, BOA VISTA, Recife, PE, 50060080",RUA DO HOSPICIO,194,BOA VISTA,50060080,Recife,PE,-8.061275304324,-34.883969088497
261160,6394051,"RUA ERNESTO DE PAULA SANTOS, 187, BOA VIAGEM, Recife, PE, 51021330",RUA ERNESTO DE PAULA SANTOS,187,BOA VIAGEM,51021330,Recife,PE,-8.125246492273,-34.898928522551
261160,6402526,"RUA MARECHAL RONDON, 146, CASA FORTE, Recife, PE, 52061050",RUA MARECHAL RONDON,146,CASA FORTE,52061050,Recife,PE,-8.031436902486,-34.922304896136
261160,6416446,"RUA GENERAL JOAQUIM INACIO, S/N, ILHA DO LEITE, Recife, PE, 52130110",RUA GENERAL JOAQUIM INACIO,S/N,ILHA DO LEITE,52130110,Recife,PE,-8.063352616675,-34.892325425566
261160,6416489,"RUA DA HORA, 366, ESPINHEIRO, Recife, PE, 52020010",RUA DA HORA,366,ESPINHEIRO,52020010,Recife,PE,-8.044401192127,-34.893526469773
261160,6424457,"AV JOAO DE BARROS, 05, BOA VISTA, Recife, PE, 50050180",AV JOAO DE BARROS,05,BOA VISTA,50050180,Recife,PE,-8.054928317692,-34.889837929462
261160,6441203,"RUA DA HORA, 378, ESPINHEIRO, Recife, PE, 52020010",RUA DA HORA,378,ESPINHEIRO,52020010,Recife,PE,-8.044521807714,-34.893606181673
261160,6441246,"RUA CINCO DE NOVEMBRO, 204, AFOGADOS, Recife, PE, 50770310",RUA CINCO DE NOVEMBRO,204,AFOGADOS,50770310,Recife,PE,-8.08090840377,-34.908835261552
261160,6441262,"RUA GERVASIO PIRES, 778, BOA VISTA, Recife, PE, 50050070",RUA GERVASIO PIRES,778,BOA VISTA,50050070,Recife,PE,-8.056127013665,-34.883943104597
261160,6443192,"RUA FELICIANO JOSE DE FARIAS, 25, BOA VIAGEM, Recife, PE, 51030450",RUA FELICIANO JOSE DE FARIAS,25,BOA VIAGEM,51030450,Recife,PE,-8.131905411432,-34.904632323843
261160,6454216,"AV VISCONDE DE JEQUITINHONHA, 1144, BOA VIAGEM, Recife, PE, 51030020",AV VISCONDE DE JEQUITINHONHA,1144,BOA VIAGEM,51030020,Recife,PE,-8.131208581911,-34.9031730345
261160,6457223,"RUA BARAO DE ITAMARACA, 123, ESPINHEIRO, Recife, PE, 52020070",RUA BARAO DE ITAMARACA,123,ESPINHEIRO,52020070,Recife,PE,-8.042930503396,-34.893611713729
